timestamp_ns,timestamp_iso,valor
1787011200093750000,2026-08-17T19:00:00.093750,15.340761
1787011200125000000,2026-08-17T19:00:00.125000,14.411592
1787011200156250000,2026-08-17T19:00:00.156250,13.406816
1787011200187500000,2026-08-17T19:00:00.187500,12.769645
1787011200218750000,2026-08-17T19:00:00.218750,12.233547
1787011200250000000,2026-08-17T19:00:00.250000,11.167297
1787011200281250000,2026-08-17T19:00:00.281250,10.768057
1787011200312500000,2026-08-17T19:00:00.312500,10.227922
1787011200343750000,2026-08-17T19:00:00.343750,9.290565
1787011200375000000,2026-08-17T19:00:00.375000,8.532130
1787011200406250000,2026-08-17T19:00:00.406250,7.978085
1787011200437500000,2026-08-17T19:00:00.437500,6.425320
1787011200468750000,2026-08-17T19:00:00.468750,5.176444
1787011200500000000,2026-08-17T19:00:00.500000,4.390190
1787011200531250000,2026-08-17T19:00:00.531250,2.960596
1787011200562500000,2026-08-17T19:00:00.562500,1.481419
1787011200593750000,2026-08-17T19:00:00.593750,0.685292
1787011200625000000,2026-08-17T19:00:00.625000,-0.043415
1787011200656250000,2026-08-17T19:00:00.656250,-0.941060
1787011200687500000,2026-08-17T19:00:00.687500,-1.999457
1787011200718750000,2026-08-17T19:00:00.718750,-2.583342
1787011200750000000,2026-08-17T19:00:00.750000,-3.595971
1787011200781250000,2026-08-17T19:00:00.781250,-5.142679
1787011200812500000,2026-08-17T19:00:00.812500,-6.466939
1787011200843750000,2026-08-17T19:00:00.843750,-7.203721
1787011200875000000,2026-08-17T19:00:00.875000,-8.287808
1787011200906250000,2026-08-17T19:00:00.906250,-9.203290
1787011200937500000,2026-08-17T19:00:00.937500,-10.021514
1787011200968750000,2026-08-17T19:00:00.968750,-11.115695
1787011201000000000,2026-08-17T19:00:01,-12.307023
1787011201031250000,2026-08-17T19:00:01.031250,-13.548046
1787011201062500000,2026-08-17T19:00:01.062500,-14.922223
1787011201093750000,2026-08-17T19:00:01.093750,-15.416702
1787011201125000000,2026-08-17T19:00:01.125000,-16.671524
1787011201156250000,2026-08-17T19:00:01.156250,-17.660371
1787011201187500000,2026-08-17T19:00:01.187500,-18.273871
1787011201218750000,2026-08-17T19:00:01.218750,-18.700708
1787011201250000000,2026-08-17T19:00:01.250000,-19.731285
1787011201281250000,2026-08-17T19:00:01.281250,-19.904151
1787011201312500000,2026-08-17T19:00:01.312500,-20.170125
1787011201343750000,2026-08-17T19:00:01.343750,-20.787775
1787011201375000000,2026-08-17T19:00:01.375000,-21.363583
1787011201406250000,2026-08-17T19:00:01.406250,-21.796366
1787011201437500000,2026-08-17T19:00:01.437500,-22.207385
1787011201468750000,2026-08-17T19:00:01.468750,-22.727777
1787011201500000000,2026-08-17T19:00:01.500000,-23.049280
1787011201531250000,2026-08-17T19:00:01.531250,-23.301344
1787011201562500000,2026-08-17T19:00:01.562500,-23.303474
1787011201593750000,2026-08-17T19:00:01.593750,-23.043446
1787011201625000000,2026-08-17T19:00:01.625000,-22.787232
1787011201656250000,2026-08-17T19:00:01.656250,-22.555023
1787011201687500000,2026-08-17T19:00:01.687500,-22.721943
1787011201718750000,2026-08-17T19:00:01.718750,-23.031443
1787011201750000000,2026-08-17T19:00:01.750000,-23.607029
1787011201781250000,2026-08-17T19:00:01.781250,-23.646740
1787011201812500000,2026-08-17T19:00:01.812500,-23.573375
1787011201843750000,2026-08-17T19:00:01.843750,-22.673710
1787011201875000000,2026-08-17T19:00:01.875000,-22.074231
1787011201906250000,2026-08-17T19:00:01.906250,-21.033894
1787011201937500000,2026-08-17T19:00:01.937500,-20.470087
1787011201968750000,2026-08-17T19:00:01.968750,-20.056937
1787011202000000000,2026-08-17T19:00:02,-19.918061
1787011202031250000,2026-08-17T19:00:02.031250,-19.362107
1787011202062500000,2026-08-17T19:00:02.062500,-19.070221
1787011202093750000,2026-08-17T19:00:02.093750,-18.658978
1787011202125000000,2026-08-17T19:00:02.125000,-17.634458
1787011202156250000,2026-08-17T19:00:02.156250,-16.631701
1787011202187500000,2026-08-17T19:00:02.187500,-15.902660
1787011202218750000,2026-08-17T19:00:02.218750,-14.868157
1787011202250000000,2026-08-17T19:00:02.250000,-13.781940
1787011202281250000,2026-08-17T19:00:02.281250,-13.096870
1787011202312500000,2026-08-17T19:00:02.312500,-12.483258
1787011202343750000,2026-08-17T19:00:02.343750,-11.214638
1787011202375000000,2026-08-17T19:00:02.375000,-10.061002
1787011202406250000,2026-08-17T19:00:02.406250,-9.396011
1787011202437500000,2026-08-17T19:00:02.437500,-8.188753
1787011202468750000,2026-08-17T19:00:02.468750,-6.844527
1787011202500000000,2026-08-17T19:00:02.500000,-6.258846
1787011202531250000,2026-08-17T19:00:02.531250,-5.353459
1787011202562500000,2026-08-17T19:00:02.562500,-3.818642
1787011202593750000,2026-08-17T19:00:02.593750,-2.659060
1787011202625000000,2026-08-17T19:00:02.625000,-1.789234
1787011202656250000,2026-08-17T19:00:02.656250,-0.298055
1787011202687500000,2026-08-17T19:00:02.687500,0.341470
1787011202718750000,2026-08-17T19:00:02.718750,1.570601
1787011202750000000,2026-08-17T19:00:02.750000,2.511773
1787011202781250000,2026-08-17T19:00:02.781250,3.911639
1787011202812500000,2026-08-17T19:00:02.812500,4.783484
1787011202843750000,2026-08-17T19:00:02.843750,6.181332
1787011202875000000,2026-08-17T19:00:02.875000,7.051046
1787011202906250000,2026-08-17T19:00:02.906250,7.990310
1787011202937500000,2026-08-17T19:00:02.937500,8.697031
1787011202968750000,2026-08-17T19:00:02.968750,9.884322
1787011203000000000,2026-08-17T19:00:03,10.936662
1787011203031250000,2026-08-17T19:00:03.031250,11.937511
1787011203062500000,2026-08-17T19:00:03.062500,12.789612
1787011203093750000,2026-08-17T19:00:03.093750,13.667290
1787011203125000000,2026-08-17T19:00:03.125000,14.366270
1787011203156250000,2026-08-17T19:00:03.156250,15.214110
1787011203187500000,2026-08-17T19:00:03.187500,15.780046
